index,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,year,month,sentiment,month_year,Season,From,To
267,Business,Economy Class,Copenhagen to Manchester,2019-09-01,5.0,5.0,5.0,1.0,4.0,4,yes,9.0,"  Copenhagen to Manchester. First time flying with SAS, and very impressed. Very nice cabin, comfortable seats, friendly staff, and they give out free tea, coffee and water twice for the 1h40 flight was a nice touch. Flight was punctual. I would highly recommend SAS.",2019.0,9.0,Positive,2019-09,Fall,Copenhagen,Manchester
268,Business,Economy Class,Stockholm to Paris,2019-08-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Stockholm to Paris. Airport monitors indicated ""gates 70-78"" I arrived in gate area 45min before hand. FlightAware indicated gate 72 departure. I missed the flight departure (airline door was closed at gate 71). Ground staff told me to call to rebook - dysfunctional. Phone agent quoted a price of $500, but I should talk to checkin supervisor. Exited to departures, and after waiting for them to open, I was told to call and rebook by supervisor. When I did,, I was a quoted the same price, but the phone agent couldn't find gate departure number that it left from - verified dysfunctional. I am a known traveller with over a million miles. Either SAS hasn't empowered their staff (probable), or the staff didn't care. They could have put me on a flight that left 3 hours later. SAS is now on the top of my no fly list, and will remain there.",2019.0,8.0,Neutral,2019-08,Summer,Stockholm,Paris
269,Family Leisure,Economy Class,Stockholm to Beirut,2019-09-01,4.0,4.0,2.0,1.0,3.0,2,yes,6.0,"  I chose to fly with SAS on my last vacation trip to Lebanon due to the direct flying option from Stockholm to Beirut. That with the comfortable seats was about the only good things with this company. I mean flying for 4-5 hours with no entertainment at all is very boring. The ticket price was not the cheapest at a range of 400 euros you just expect more than a tiny cheese sandwich, a cup of of coffee and a grey-bluish back of seat to stare at for the entire flight. The seats was comfy with plenty of space for legs. The staff was friendly. Water cost 3.5 euros, if you want a meal onboard you could pay extra to get it. In my opinion 400-500 euros for economy-flex is way too much for the route. The plane we took back to swede had the possibility to connect with wifi. But it didn't work. I tried for at least 15 times to buy the wifi code but it didnt allow me to do it. Over all rating 6 out of 10.",2019.0,9.0,Neutral,2019-09,Fall,Stockholm,Beirut
270,Solo Leisure,Economy Class,London Stansted to Beijing via Copenhagen,2019-08-01,5.0,5.0,3.0,4.0,5.0,5,yes,9.0," I flew from London Stansted to Beijing with a connecting flight at Copenhagen. Everything went really smoothly and I didn't encounter any major problems or issues throughout the round trip. I managed to get bulkhead seats on the longer part of the flight from Copenhagen to Beijing. The extra legroom and not having a reclined seat in my face made the flight much more comfortable. I was surprised by how good the resolution and responsiveness of the inflight entertainment system and there was enough choice of movies and other media to occupy a 9 hour flight. Food on the flight was average though, one meal which passengers were served that was definitely below average was cold fried rice and chicken. I'm guessing they may have had issues heating up the meal before serving. The staff and cabin crew were friendly and overall it was a pleasant experience and I would consider choosing SAS in the future.",2019.0,8.0,Positive,2019-08,Summer,London Stansted,Beijing
271,Solo Leisure,Economy Class,Stavanger to Amsterdam via Copenhagen,2019-09-01,3.0,3.0,1.0,1.0,1.0,1,no,2.0,"  Stavanger to Amsterdam via Copenhagen. On 6th September I was at Stavanger Airport for a flight to Amsterdam via Copenhagen. Unfortunately there was a delay and SAS kept pushing the departure time further back. After we finally boarded SK1877 the second engine of the aeroplane was not serviceble and we had to return to the gate. This gave a huge problem with the amount of passengers being stuck at Stavanger. The biggest problem for me was that I was unable to catch my connecting flight from Copenhagen to Amsterdam. My complaint about the whole situation is that SAS forced all the passengers to stay on Stavanger airport to go with flight SK1877 to Copenhagen (a flight that departed eventually at 00:50) I didnt want to go to Copenhagen in the first place, because I needed to go to Amsterdam and I rather stayed in Stavanger to get booked on a direct flight later that day. (several direct flights leaving stavanger to amsterdam). There was no way of contacting the SAS customer service by phone (tried several times) and no SAS deck at the airport in reach. Now I was forced to go Copenhagen where I was further away from home and in a bigger mess because of the strikes at Copenhagen, well known to SAS. At arrival they gave us no information and no rebooking on next flights. A hotel voucher was offered for a hotel that is 40 minutes away from the airport (in a different city) and a phone number for the SAS customer service to call after 07:00 a.m. I had to book a flight with another airline just to get out of Copenhagen, with my suitcase lost in the pile of other bagage at Copenhagen airport. I'm travelling a lot and have encountered many delays and cancelled flights, but this is the worst service I have ever seen with any airline. Even after the difficult online process of getting refunds for my flights, the official answer of SAS is that their process time is 4 weeks. I feel mistreated. This a problem that should be addressed. ",2019.0,9.0,Negative,2019-09,Fall,Stavanger,Amsterdam
272,Solo Leisure,Economy Class,Berlin to Newark via Stockholm,2019-09-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Berlin to Newark via Stockholm. SAS after selling me my ticket spontaneously changes my entire flight plan back so that my overnight layover was in another country leading to having to cancel prearranged accommodation. When I went to check in on my flight back, because they spontaneously changed my flight plans, they ended up losing my tickets entirely. After an hour they finally found my tickets, but they decided to lose the fact that I had paid for the first piece of checked-in luggage. They lost this fact and made me pay twice in all to check in my one suitcase and were extremely unhelpful at the counter. Avoid this airline as they will lose everything in the abyss they call their network and make you pay again.",2019.0,9.0,Negative,2019-09,Fall,Berlin,Newark
273,Solo Leisure,Economy Class,Alesund to Brussels via Oslo,2019-08-01,4.0,5.0,1.0,1.0,5.0,4,yes,8.0,"  Flew from Alesund via Oslo to Brussels. Swift check-in and security, friendly staff, both on ground and in air. Quick stopover in Oslo, but slightly uncomfortable since the gate wasn't open yet and there were no chairs we were standing or sitting on the floor (for a short time) and unpleasantly warm temperature at the gate. Satisfying legroom and seat comfort. Luggage arrived unharmed in Brussels, despite being unlocked and easy to open. (Most) Beverages and food aren't free, I didn't buy anything, so I can't judge on that. Satisfied overall. No IFE, but understandable because of the short trip.",2019.0,8.0,Positive,2019-08,Summer,Alesund,Brussels
274,Business,Business Class,London to Alesund via Oslo,2019-08-01,1.0,1.0,2.0,1.0,1.0,1,no,1.0,"  We paid for Business Class seats but Business Class appears not to exist with SAS. 3 seats in a row and all 3 seats are occupied, me with a window, seat my husband with an aisle seat and a passenger between us, Row 3. This happened on outbound and inbound flights. The crew weren't particularly friendly or helpful. The aircraft themselves looked tired and were pretty basic. Not much leg room either. Damaged bags one of which had to be replaced at the airport (by SAS) as the damage was so extensive. Tip: fly with your favourite other airline to Oslo and avoid SAS if at all possible.",2019.0,8.0,Negative,2019-08,Summer,London,Alesund
275,Family Leisure,Economy Class,Washington to Warsaw ,2019-07-01,1.0,1.0,1.0,1.0,1.0,1,no,3.0,"  We bought our tickets several months before the trip. I called a week before to find out that they changed the schedule and my flight no longer existed. I was not notified about that change! I opted to get a refund. It took them 30 days to process it and now I have a $3,000 credit on my credit card. A refund should be a refund. Never using SAS Scandinavian again.",2019.0,7.0,Positive,2019-07,Summer,Washington,Warsaw 
276,Couple Leisure,Economy Class,Stockholm to Chicago,2019-08-01,3.0,3.0,2.0,2.0,1.0,1,no,1.0,"  Stockholm to Chicago. Terrible customer service. Flew home on SAS after flying out on United- not an airline known for quality service but flew circles around SAS. Not only did SAS refuse to honor my Star Alliance gold status (SAS is a star alliance member), but they changed our seat at the last minute citing that the seat we booked is just a “wish” and until we actually board, it can be changed at any time. Needless to say, the new seat was not an upgrade and my wife and I wound up sitting in middle seats for 9.5 hours. Never flying SAS again.",2019.0,8.0,Neutral,2019-08,Summer,Stockholm,Chicago
277,Family Leisure,Economy Class,Copenhagen to Chicago,2019-07-01,2.0,2.0,2.0,3.0,1.0,3,no,1.0,"  The tickets were averagely priced, but I thought I will try SAS airlines, I have flown before always Lufthansa, but I wanted to try different airlines for a change. I originally flew from Vienna, with connecting flight from Copenhagen to Chicago via SAS. I checked in online before boarding, and everything looked ok, but when I got to Copenhagen and wanted to check on my flight as I had an almost 7-hour layover, I had to check in again. I went to the SAS customer service desk to get boarding passes and to ask for their lounge as I paid for it. They told me, the luggage was ticketed wrong, but they will fix it and put it on the right flight. Took the numbers of my tickets, seen photos of my luggage (thank God I took them before leaving) and she reassured me, they will be on the flight with me. Came to Chicago and only 2 out of my 3 bags arrived (it was me and 2 kids, so one bag for each). I went to the SAS luggage claim which was Wednesday, and they told me I should get it most likely by Friday. Well, Friday came, I received a notification that the flight with my luggage landed, but that was the last of it. I called Saturday, but nobody was there. I called the 800 number, but they were less than helpful, and the guy even hung up on me, when I tried to find a different number on how to contact them. I mean, they have flights on Saturday as well, so if the customer service does not operate in the airport on Saturday, where the people claim their luggage if lost? So, I rather stick with Lufthansa, but for sure I will not fly again with SAS. Recommendation: if you have a connecting flight, make sure you go to customer service with your luggage even if you already checked in online, do not go to the Self-help Kiosks and make sure your tags have the final destination on it. It should save you a lot of headaches.",2019.0,7.0,Positive,2019-07,Summer,Copenhagen,Chicago
278,Family Leisure,Economy Class,London to Copenhagen,2019-08-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,  London to Copenhagen. This airline ticket cost me over £230 (on way) and I could not take my hand luggage with me on the plane. SAS is similar to Ryanair and the staff are rude and unhelpful. I would say even easyJet is better. So avoid SAS! Unhelpful rude staff.,2019.0,8.0,Negative,2019-08,Summer,London,Copenhagen
279,Family Leisure,Economy Class,Helsinki to Boston via Copenhagen,2019-07-01,3.0,5.0,4.0,3.0,1.0,2,no,2.0,"  Helsinki to Boston via Copenhagen. SAS managed to lose my baggage going to my destination and now coming back home. When I talk to a SAS representative, all I get is that I have to call Boston airport lost luggage number to see if my luggage is there. Aren't they supposed to do that since they lost all 3 of my family's suitcases? When I ask about filing a report to get a PIR# that I need, I was told I don't need to do it until Boston tells me my luggage is lost. Newsflash: It's already lost since SAS failed to get it from the transfer desk to the correct flight to make it back to Houston. They are unwilling to help or take responsibility. We've filed a complaint with SAS but are yet to hear from them. That seems to be the trend from what I have read online. Really disappointed in the way this is being handled by SAS. My advice: don't fly SAS unless you only have a carry on.",2019.0,7.0,Negative,2019-07,Summer,Helsinki,Boston
280,Solo Leisure,Economy Class,San Francisco to Athens via Copenhagen,2019-07-01,2.0,4.0,2.0,3.0,2.0,3,no,3.0,"  San Francisco to Athens via Copenhagen. This airline is a joke. Firstly, when purchasing the ticket, I picked this option because it was one of the lowest rates traveling from San Francisco to Greece via Copenhagen. It was unclear that this included no baggage ($80 each way), can't pick seats (until 24 hrs before flight), pay for your drinks (on the 11 hr flight) and pay for food and drinks (on the 4 hr flight). By the time you add this all up (including purchasing seats for all 4 of my flights for fear of being put in the middle), the ticket is now almost $500 extra. Oh, and to avoid milling around the airport for 12 hours in Copenhagen lay over, I stayed at an airport hotel. The seats are tiny, there is no place to stand in the aircraft (except right outside the toilet doors in a passage about 3 ft wide, and hardly any leg room. The prices when purchasing are very misleading, airlines like SAS are squeezing in more people and offering less amenities. Not ok!",2019.0,7.0,Negative,2019-07,Summer,San Francisco,Athens
281,Solo Leisure,Economy Class,Copenhagen to Beijing,2019-07-01,3.0,3.0,4.0,3.0,1.0,3,no,1.0,"  Copenhagen to Beijing. The flight to Beijing was overbooked and SAS put around 30 people to stand by ticket to maximise their profit by waiting someone to bid to upgrade themselves. This is understandable in a business perspective, but however their check-in system could not handle this issue and it made that I could not leave my luggage, despite the fact that I arrived twelve hours before the actual flight departure time. Their incompetent ground personnel did not aware of the issue and made me stand for diverse queue in the airport terminal several times, and it is truly unprofessional. Unfortunately, the employee has not made any apologises. The customer service is completely ignoring this issue and it is questionable whether the company cares about any sort of customer relation",2019.0,7.0,Negative,2019-07,Summer,Copenhagen,Beijing
282,Solo Leisure,Economy Class,Copenhagen to Milan,2019-05-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Copenhagen to Milan. Due to the strike of airline company’s own pilots, my flight was cancelled, and the airline’s customer service was unreachable due to high volume of the calls. The airline did not arrange alternative travel route so I had to organise my own. When compensation was requested, SAS replied in the following way: “The judgment does not however change the fact that a lawful strike still is still considered as an extraordinary circumstance. A lawful strike, which arises when the employees use their constitutional right is not part of the normal exercise of an airline. Scandinavia is well known for its collective bargaining system and labor conflicts arise seldomly. Within this system and through collective agreements the employer’s and the employee’s representatives agree between themselves on wages and working conditions in an equivalent way. SAS’ interpretation of the judgment is in line with the interpretation in earlier cases by the Danish, Norwegian and Swedish Alternative Dispute Resolution Bodies. ” They put their own claim and agenda to their affected customers rather than apologising for the inconveniences caused. Therefore, it is right to draw a conclusion that the airline is not worthy.",2019.0,5.0,Negative,2019-05,Spring,Copenhagen,Milan
283,Solo Leisure,Economy Class,Copenhagen to Hong Kong,2019-07-01,2.0,3.0,1.0,3.0,2.0,2,no,2.0," Copenhagen to Hong Kong. I find the drink rules ridiculous. One free non-alcoholic drink, the second (or first alcoholic drink) to be paid for. An 11-hour flight doesn't pass the bar for good service in my book. I am not an alcoholic and drank my free drink only but prefer some red to send me to sleep. The staff were friendly. The only complaint there is that the complementary non-alcoholic drink was served about 30 mins before the meal. The meal, however, included a water bottle - and I don't mind water. The meals were very good for being economy class. The seats were pretty average, which most economy seats are. 6.2 and you are feeling it afterwards. No better or worse than most other operators. My main grief was the drinks, and yeah, no nuts with the pre-dinner drinks (as there are none - they were pre-dinner to save for dinner). If you would still like some nuts, or anything else, pay for it. The Sydney to Hong Kong leg and back was with Cathay, completely flawless, would give Qantas a run for it.",2019.0,7.0,Positive,2019-07,Summer,Copenhagen,Hong Kong
284,Couple Leisure,Economy Class,New York to Copenhagen,2019-06-01,5.0,5.0,4.0,5.0,5.0,5,yes,8.0,  New York to  Copenhagen. We were happy with our flight. However legroom on SAS is very tight. We overcame this problem by paying $60 for extra legroom seats. It was great. A good deal compared to Austrian who charge $100 and United about the same or even more. The crew were very polite and pleasant. The food was good except for the fact that they served chicken thigh -  the rest of the meal which was very good. My advice: try and book an extra legroom seat. Otherwise it's a problem. In flight entertainment was excellent.,2019.0,6.0,Positive,2019-06,Summer,New York,Copenhagen
285,Business,Business Class,Munich to Shanghai via Munich,2019-06-01,4.0,4.0,3.0,4.0,1.0,3,no,2.0,"  Munich to Shanghai via Munich. I flew with SAS many times, always with big satisfaction, but this time was different. My baggage was lost already in starting airport. According to the information I got at the Desk, in arrival Airport, the baggage was never put on the plane. The following week, my return, I had to fly again. The only thing I could do was buying what I lost. To be sure, I was acting correctly, I called SAS many times and every time I was told to buy new stuff. After 5 weeks the lost baggage was found. I have requested SAS to support me in the expenses I had but nothing. Even if the baggage arrived 2 weeks later than the 3 weeks Air company is claiming as std window to recover from any mis-service, nothing. Even if claiming that the operators told me to buy new stuff ... nothing. I'm really disappointed, in seeing how SAS is supporting its clients in the bad situations, which by the way can happen. The only thing I cam do is fly with somebody else. So SAS team, I can promise you, I will never ever fly with you. ",2019.0,6.0,Positive,2019-06,Summer,Munich,Shanghai
286,Couple Leisure,Economy Class,Stockholm to Visby,2019-07-01,3.0,4.0,1.0,1.0,3.0,4,no,6.0,"  Stockholm to Visby. Flew on twin-engine turbo prop. Flight was delayed because the plane was refueling.  SAS should have had the plane ready at the scheduled departure time. The flight was uneventful, but the airline lost my bag for a day. I had to buy clothes and two hours after I purchased the clothes, the airline delivered my bag.",2019.0,7.0,Neutral,2019-07,Summer,Stockholm,Visby
287,Solo Leisure,Economy Class,Copenhagen to Athens,2019-07-01,2.0,1.0,1.0,1.0,1.0,1,no,1.0, Copenhagen to Athens with SAS Scandinavian. Low cost service at not at all a low cost price! Unprofessional and indifferent cabin crew: they never apologised after having been notified that they had forgotten to serve us. A very cheap product in general. Avoid if possible!,2019.0,7.0,Negative,2019-07,Summer,Copenhagen,Athens
288,Solo Leisure,Economy Class,Stockholm to Copenhagen via Oslo,2019-06-01,4.0,5.0,3.0,1.0,5.0,5,yes,8.0,"  I flew ARN to OSL and OSL to CPH first time ever with SAS and won’t be the last if I fly to this part of the world again. Aircraft are in good condition even it seems a bit old and the crew were friendly on both flights. Even though they are both very short flights, they served tea and coffee and a small cake or sandwich.  The B737 seats were a bit tight but the A320 had a lot of space and was comfortable. The flights were on time and always kept informed by sms and app. All in all a good experience.",2019.0,6.0,Positive,2019-06,Summer,Stockholm,Copenhagen
289,Solo Leisure,Economy Class,Chicago to Copenhagen,2019-04-01,1.0,5.0,3.0,5.0,3.0,3,yes,9.0,"  Chicago to Copenhagen. This flight left on time an arrived in Copenhagen. The flight itself and the wait at the gate were fine. I am deaf and, even with a cochlear implant, cannot hear PA system announcements. I informed the gate agent of this, and suitable arrangements were made, without question. Service on board was excellent and unobtrusive. Cabin service was good, and the flight was uneventful. Seats were terribly narrow, but thi--alas!--is common pracytice withn airline economy class, as dictated by company accountants. My only complaint is with the check-in. I have sleep apnea and use a C-PAP machine when I sleep. I made the mistake of mentioning that I had the machine in my checked luggage, bringing forth the the protest that I could not check in my bag with the device in it, but had to take the machine in my hand baggage through security. Since I have checked the machine in my baggage since I got a machine in 2007, and since I was hassled, if eventually cleared, at security when my checked bag was overweight, I made a courteous objection. A courteous argument ensued (""Is this company or TSA policy?"" I'm not sure if it is, but you can't check it.""), and I ended up taking it in hand baggage, which brought a delay at security and more pressure on my bad back. Otherwise, it was a good flight.",2019.0,4.0,Positive,2019-04,Spring,Chicago,Copenhagen
290,Business,Economy Class,Copenhagen to Aarhus,2019-06-01,2.0,2.0,1.0,1.0,3.0,1,no,2.0," Copenhagen to Aarhus. Another delayed flight with SAS. This appears the norm, rather than the exception and in my experience delays are always announced very close to departure time leaving one with no chance to adjust or change plans. Avoid if you can.",2019.0,6.0,Negative,2019-06,Summer,Copenhagen,Aarhus
291,Solo Leisure,Economy Class,Warsaw to Copenhagen,2019-06-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Warsaw to Copenhagen. As i paid a price of full service carrier i felt like I’m flying with low cost airline. They haven’t used an aircraft from their fleet they used a old B737 probably leased from airline called Jet time where you can’t even extend your leg. Air conditioning wasn’t working properly as for 45 min the plan was so hot out of 90 min flight. Crew was so rude -delayed 25 min - as they wrote on the boarding gate 30, later on they announced that it’s 34 and as i was waiting till 20 min before departure. I was checking the airport website and i saw it gate 44 so they changed the gate 2nd time without any announcements. The worst airline I have ever used.",2019.0,6.0,Negative,2019-06,Summer,Warsaw,Copenhagen
292,Couple Leisure,Economy Class,Olbia to Stockholm,2019-06-01,5.0,5.0,4.0,1.0,5.0,5,yes,10.0,"  Olbia to Stockholm. Incredible flight with SAS! We were the only two passengers on the flight, probably because it was during the Swedish midsummer holiday, and the plane was empty. The cabin crew were super welcoming, and they upgraded our booking to all Inclusive! Best flight of my life.",2019.0,6.0,Positive,2019-06,Summer,Olbia,Stockholm
293,Solo Leisure,Economy Class,Boston to Oslo via Copenhagen,2019-06-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,  Boston to Oslo via Copenhagen. Worst customer service I have ever encountered in any business.  They don’t give a damn about customer service. I am gravely disappointed and they have ruined the start of my trip. I have never taken the time to write a negative review in my life. But this is egregious.,2019.0,6.0,Negative,2019-06,Summer,Boston,Oslo
294,Couple Leisure,Economy Class,Dusseldorf to Oslo,2019-06-01,2.0,3.0,2.0,1.0,1.0,1,no,1.0,"  Dusseldorf to Oslo. Avoid SAS at all costs if you're flying economy. SAS does everything to give you the worst possible service on economy - low cost carriers like Ryan Air or easyJet are a blessing in comparison - in order to fleece you with their premium options. We had a cancellation and SAS hugely disappointed. The main issue is that the flight was cancelled at 10PM, and no service and support from the airline at all was provided until calling the hotline the next morning at 9AM. Outside the legally obligated food vouchers delivered via a contractor at the airport. That lack of care and support led to the early morning flight offered by SAS to be fully booked out by normal customers and we with our cancelled flight were left with an afternoon flight which had huge consequential damages in terms of lost connections for us. I find it appalling that an airline cares so little about its customers that new paying customers still have priority over your cancelled trip and also from a legal perspective the airline definitely failed its duty to try and get you from A to B in face of cancellation as fast as possible. Needless to say the options for remedy with support proved completely inflexible. Almost fraudulently, I also found out SAS uses different booking codes and Airlines to get out of legal responsibilities, apparently our other trip in the journey was booked with Scandinavian which is a different airline than SAS and therefore SAS refused a refund for this part of the journey. While I certainly agreed to conditions on ticket and have no legal recourse this sort of skulduggery is clearly set up by the airline to make your life as miserable as possible and force you to book their premium priced options if you want proper service. ",2019.0,6.0,Neutral,2019-06,Summer,Dusseldorf,Oslo
295,Business,Economy Class,Oslo to Dusseldorf ,2019-06-01,3.0,3.0,3.0,3.0,1.0,2,no,3.0,"  Oslo to Dusseldorf. I went into one of their traps: I had luggage on the way down, but opted for the default without luggage when I choose the trip home. Of course I got no warning before I checked in and had to pay 70 euro. 55 more than prepaid. ",2019.0,6.0,Neutral,2019-06,Summer,Oslo,Dusseldorf 
296,Solo Leisure,Economy Class,Bergen to Stockholm via Stavanger,2019-05-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,  Late last night when checking in on line. I noticed something odd. My flight was departing Bergen 4 hours latter and arriving in Stockholm 1 hour latter. Adding 5 hours to my travel for supposedly a 1 hour flight. Now getting to and from airport is another 1hour - + if not familiar with airport. I calculated from my my hotel in Bergen to Stockholm hotel will now be 9 hours instead of 3 hours. Now - I have come to Scandinavia for holiday - I spend about $30k over 10 days - so SAS effectively has now taken a day from holidays. A 7 hour trip should get me to Dubai - You not what makes it worse is I was warned this happens all the time with SAS as friend booked business class from Australia and trip was a nightmare. When Scandinavia is mention in the name of their airline you expect quality good service. Surely tourism can request them to use another name or fine SAS. Such beautiful airports such a terrible airline. Something wrong here.,2019.0,5.0,Positive,2019-05,Spring,Bergen,Stockholm
297,Business,Economy Class,Copenhagen to London,2019-06-01,3.0,1.0,1.0,1.0,2.0,3,no,3.0,  Copenhagen to London. Very full morning service to London. Completely disorganized boarding with passengers carrying several pieces of bulky carry-ons exceeding any regulations. Flight delayed due to the ineffectiveness of the crew to handle this everyday situation. How hard can it be to enforce baggage rules PRIOR to boarding the aircraft?,2019.0,6.0,Negative,2019-06,Summer,Copenhagen,London
298,Couple Leisure,Economy Class,Rome to Copenhagen,2019-03-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,  They sent me a message after my flight was cancelled due to the strike saying if I want to re book my flight with another airline they will refund me the difference. Which I thought was fair enough. Only to be told later I'm not entitled to anything. I'm so thankful it was only Rome to Copenhagen.  They want you to re book your ticket at your own cost.Shame on you SAS.,2019.0,3.0,Positive,2019-03,Spring,Rome,Copenhagen
299,Solo Leisure,Economy Class,San Francisco to Warsaw via Copenhagen,2019-04-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  San Francisco to Warsaw via Copenhagen. Creates so many rules in customer service that you cannot be helped. Do not try to understand people. They are just for profit not for people. I was affected by their strike and they are not ready to help me, just protect them by their interest",2019.0,4.0,Positive,2019-04,Spring,San Francisco,Warsaw
300,Solo Leisure,Economy Class,San Francisco to Copenhagen ,2019-05-01,3.0,1.0,1.0,1.0,1.0,2,no,3.0,"  I’m deeply disappointed with SAS service. They were rude and didn’t show any sympathy at all when they rebooked my flight less than 12 hours before departure. I booked in August 2018 a flight from SFO to Copenhagen in May. It was a direct flight and I was supposed to sit next to my friend. Less than 12 hours before departure I got an email saying that they had to rebooked it to Air Canada with a transfer in Toronto. This is a joke. I needed to get a visa, from a nice afternoon flight to a very early flight, we couldn’t check in our bags right away and we got the middle seats on different rows. I called their costumer service and this rude guys just came up with excuse after excuse instead of actually doing something.",2019.0,5.0,Neutral,2019-05,Spring,San Francisco,Copenhagen 
301,Business,Economy Class,London to Stockholm,2019-05-01,2.0,2.0,1.0,1.0,2.0,2,no,3.0,"  London to Stockholm. Unjustified check in of cabin precious luggage and damages in result. Cabin crew passing by certain seat rows and not offering even a water. Worn out printed materials. Food from paid menu not available. Overall impression below European budget airline standards. I wish SAS management to reflect, learn and seek improvement. I will try to avoid.",2019.0,5.0,Positive,2019-05,Spring,London,Stockholm
302,Couple Leisure,Economy Class,Stockholm to Kiruna,2019-04-01,2.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Stockholm to Kiruna. Not worth the money. Poor service, old aircraft, arrogant ground staff. What else can I say?  You can't go to a check in desk, you need to do it yourself. Then you have to take your bag to a bag drop. I checked in a bag that weighed 23 kg and the bag drop computer wouldn't let me because it was 23 kg. Apparently that's too heavy.  had to contact a member of staff which I did. The person said ""It's heavy. You need to label it. You have paid for 1 bag, 23 kg. Think about it next time."" with such an arrogant tone. I couldn't help but reply that I knew about that and that I could have checked in 3 more bags as stated on my ticket but I didn't so? There was a sign about Wifi that it would be on once we'd reach a certain altitude... waited and waited. Turned out there was no wifi... The SAS lounge at terminal 4 at Stockholm is pathetic. SAS Plus domestic is a joke. SAS used to be quite ok but lately they are getting worse and worse. Felt almost like flying with Ryanair except they fly from a real airport.",2019.0,4.0,Negative,2019-04,Spring,Stockholm,Kiruna
303,Couple Leisure,Economy Class,London to Stockholm,2019-05-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0," London to Stockholm. Flights had to be abandoned due to SAS Pilots strike. No information whatsoever from SAS regarding possible disruption or cancellation and had to make a last minute decision whether to cancel pre-booked accommodation or risk losing everything. The lack of information to fare paying passengers is extremely discourteous and disruptive. I shan't book with SAS again, a more reliable service is available from Norwegian and EasyJet",2019.0,5.0,Negative,2019-05,Spring,London,Stockholm
304,Solo Leisure,Economy Class,Copenhagen to Helsinki,2019-05-01,2.0,2.0,1.0,1.0,1.0,2,no,2.0,"  I flew from Doha to Helsinki via Copenhagen. The flight from Copenhagen to Helsinki was cancelled due to pilot strike. SAS informed me just before my 1st flight that the Copenhagen- Helsinki was cancelled. I was waiting for rebooking or re-routing. But there was no way to contact SAS to check how my flight was rebooked. There was direct flight from Doha to Helsinki, but they did not help me to book that flight. I arrived in Copenhagen, and they put me in the SAS flight next day, instead of booking other available airlines on the same day for me. I got to stay in Copenhagen overnight. The ground staff were ignorant and unhelpful. Finally they gave me a hotel and a 150DKK voucher for dinner, I would not recommend SAS.",2019.0,5.0,Negative,2019-05,Spring,Copenhagen,Helsinki
305,Business,Economy Class,Hamburg to Stockholm via Copenhagen,2019-04-01,2.0,1.0,1.0,1.0,3.0,1,no,2.0,"  Hamburg to Stockholm via Copenhagen. I heard about the pending SAS pilot strike through the papers two days before departure and realized that I would be affected. I called SAS and asked to be rebooked on another carrier. I was told that the strike might not take place and that they would not book me on a non SAS flight, even if the strike would take effect. She was totally unhelpful. I rebooked myself on a SAS flight a day earlier and had to stay at a hotel which SAS refused to pay for. The strike started on midnight as expected and all SAS flights are presently being cancelled. I have been affected by a LH industrial dispute and it was handled professionally as it should be. SAS didn’t bother to even send an email that my flights would be cancelled. The flights were the usual Standard, budget carrier service where everything had to be purchased at inflated prices. Flights were on time.",2019.0,4.0,Negative,2019-04,Spring,Hamburg,Stockholm
306,Solo Leisure,Economy Class,Malta to Oslo via Stockholm,2018-09-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Malta to Oslo via Stockholm. I am a Euro Bonus customer. I am writing this as I feel that SAS doesn't care much (certainly not enough) about its customers. I booked a ticket using my EB points back in September, and paid over 500 kroners for the benefit. A flight I was originally booked on, Oslo-Stockholm on May 1st got cancelled. I was informed of this cancellation by email that I was booked on an earlier flight, making the transit in Stockholm even longer (10 hours in fact). I tried calling the Euro Bonus service desk. It was busy and I eventually got through to a customer agent who told me that they didn't have other flights than the one I got rebooked on and that he had to check if I can get booked on another airline and that I had to wait on the line. I was left waiting for half an hour. This is unacceptable. I eventually had trips (on other airlines) from Oslo Gardermoen airport, and each time I was there, I asked the ticket desk staff if they could help me. I was told that the only way to get help with Euro Bonus reservations was through the phone. I phoned a couple of times the Euro Bonus desk, but I on every occasion there was a long waiting time. I will only book SAS if I have no better choice at all.  Avoid SAS.",2018.0,9.0,Neutral,2018-09,Fall,Malta,Oslo
